"請同時收錄甲乙兩列字，因爲部分不是繁簡關係，只是釋義相同，謝謝！"					
"拼音"	"寬式IPA"	"調號"	"字甲"	"字乙"	"釋義"
"z"	"tsɿ"	5	"蒔"		"～竹"
"z"	"tsɿ"	5	"嗣"		"子～"
"z"	"tsɿ"	5	"飼"	"饲"	"食也"
"z"	"tsɿ"	5	"廁"	"厕"	"～屋"
"z"	"tsɿ"	5	"刺"		"魚～"
"z"	"tsɿ"	6	"巳"		"～時"
"z"	"tsɿ"	6	"峙"		"屹立也；具也"
"z"	"tsɿ"	6	"庤"		"具也"
"z"	"tsɿ"	6	"字"		"名～；文～"
"z"	"tsɿ"	6	"牸"		"～牛"
"z"	"tsɿ"	6	"𦍺"		"～羊"
"z"	"tsɿ"	6	"寺"		"～觀；～人"
"z"	"tsɿ"	6	"自"		"～家"
"c"	"tsʰɿ"	1	"雌"		"～雄"
"c"	"tsʰɿ"	1	"疵"		"～瑕"
"c"	"tsʰɿ"	1	"玼"		"～瑕，同「疵」"
"c"	"tsʰɿ"	1	"庛"		"耒下岐木也"
"c"	"tsʰɿ"	1	"恣"		"～睢"
"c"	"tsʰɿ"	1	"差"		"等～；參～"
"c"	"tsʰɿ"	1	"薺"	"荠"	"采～：逸詩名"
"c"	"tsʰɿ"	1	"訾"		"詆毀也"
"c"	"tsʰɿ"	1	"頾"	"髭"	"口上鬚也"
"c"	"tsʰɿ"	1	"𦙼"		"子腸"
"c"	"tsʰɿ"	3	"此"		"彼～"
"c"	"tsʰɿ"	3	"泚"		"水清也；汗出皃"
"c"	"tsʰɿ"	3	"𠈈"	"佌"	"～～：小也"
"c"	"tsʰɿ"	3	"玼"		"玉色鮮明也"
"c"	"tsʰɿ"	3	"跐"		"躡也"
"c"	"tsʰɿ"	3	"訿"		"～～：不思稱意"
"c"	"tsʰɿ"	3	"訾"		"苟～"
"c"	"tsʰɿ"	5	"次"		"～序；旅～；一～，二～"
"c"	"tsʰɿ"	5	"佽"		"～助"
"c"	"tsʰɿ"	5	"栨"		"楣～"
"c"	"tsʰɿ"	5	"朿"		"木芒也"
"c"	"tsʰɿ"	5	"刺"		"～殺；～探；芒～；～史；名～"
"c"	"tsʰɿ"	5	"莿"		"芒～，同「刺」，同「朿」"
"c"	"tsʰɿ"	5	"㓨"		"采取也，同「刺」"
"c"	"tsʰɿ"	5	"廁"	"厕"	"～所；～身其閒"
"c"	"tsʰɿ"	5	"賜"	"赐"	"賞～"
"c"	"tsʰɿ"	5	"儩"	"𰂭"	"盡也"
"c"	"tsʰɿ"	5	"絘"	"𰬒"	"績～"
"c"	"tsʰɿ"	5	"眥"	"眦"	"目內眦"
"c"	"tsʰɿ"	5	"柴"		"積禽"
"c"	"tsʰɿ"	5	"伺"		"新～候"
"s"	"sɿ"	1	"私"		"公～"
"s"	"sɿ"	1	"厶"		"公～"
"s"	"sɿ"	1	"司"		"主其事也；官署名"
"s"	"sɿ"	1	"恖"	"思"	"～想；～念；語氣詞"
"s"	"sɿ"	1	"偲"		"～～：相切責也"
"s"	"sɿ"	1	"緦"	"缌"	"～麻：服名"
"s"	"sɿ"	1	"颸"	"飔"	"涼風也"
"s"	"sɿ"	1	"罳"		"罘～"
"s"	"sɿ"	1	"鍶"	"锶"	"鐵器；金屬原質名"
"s"	"sɿ"	1	"斯"		"螽～；此也；語詞"
"s"	"sɿ"	1	"澌"		"～滅"
"s"	"sɿ"	1	"嘶"		"驢～馬叫"
"s"	"sɿ"	1	"撕"		"～破；提～"
"s"	"sɿ"	1	"廝"	"厮"	"使役也"
"s"	"sɿ"	1	"𤺊"		"喉病聲不清也"
"s"	"sɿ"	1	"蟴"	"蟖"	"蛄～：毛蟲"
"s"	"sɿ"	1	"絲"	"丝"	"蠶～；～毫"
"s"	"sɿ"	1	"鷥"	"鸶"	"鷺～"
"s"	"sɿ"	1	"𦸷"	"𬝊"	"～瓜"
"s"	"sɿ"	1	"虒"		"～祁，宮名"
"s"	"sɿ"	1	"禠"		"福也"
"s"	"sɿ"	1	"蜤"		"～螽：螽斯"
"s"	"sɿ"	1	"鋖"		"平木器"
"s"	"sɿ"	1	"釃"	"酾"	"分也；漉酒也"
"s"	"sɿ"	1	"螄"	"蛳"	"螺～"
"s"	"sɿ"	1	"師"	"师"	"～傅；～心；律～"
"s"	"sɿ"	1	"獅"	"狮"	"～子"
"s"	"sɿ"	1	"溮"	"浉"	"水名"
"s"	"sɿ"	1	"廁"	"厕"	"破讀。茅～屋；～屋"
"s"	"sɿ"	3	"死"		"生～"
"s"	"sɿ"	5	"四"		"數名"
"s"	"sɿ"	5	"泗"		"水名；涕～"
"s"	"sɿ"	5	"駟"	"驷"	"四馬也"
"s"	"sɿ"	5	"柶"		"匕也"
"s"	"sɿ"	5	"佀"	"似"	"肖也；～乎；嗣也"
"s"	"sɿ"	5	"姒"		"長婦也"
"s"	"sɿ"	5	"耜"		"耒～"
"s"	"sɿ"	5	"禩"		"同「祀」，奕～"
"s"	"sɿ"	5	"祀"		"祭～"
"s"	"sɿ"	5	"汜"		"水決復入也"
"s"	"sɿ"	5	"戺"		"砌也"
"s"	"sɿ"	5	"飤"		"～養動物"
"s"	"sɿ"	5	"飼"	"饲"	"同「飤」。～養動物"
"s"	"sɿ"	5	"嗣"		"～後；後～"
"s"	"sɿ"	5	"食"		"以食與人也"
"s"	"sɿ"	5	"俟"		"待也"
"s"	"sɿ"	5	"竢"		"同「俟」。待也"
"s"	"sɿ"	5	"涘"		"涯～"
"s"	"sɿ"	5	"騃"	"𫘤"	"駓～：獸行皃"
"s"	"sɿ"	5	"廁"	"厕"	"茅～"
"s"	"sɿ"	5	"肆"		"放～；市～；借作「四」"
"s"	"sɿ"	5	"兕"		"獸名"
"s"	"sɿ"	5	"恖"	"思"	"悲也"
"s"	"sɿ"	5	"澌"		"～滅"
"s"	"sɿ"	5	"僿"		"無悃誠也"
"s"	"sɿ"	5	"士"		"～人；～女；將～"
"s"	"sɿ"	5	"仕"		"～宦"
"s"	"sɿ"	5	"事"		"～務；～奉"
"s"	"sɿ"	5	"使"		"出使曰～"
"s"	"sɿ"	5	"肂"		"埋棺坎下"
"s"	"sɿ"	5	"笥"		"衣箱"
"s"	"sɿ"	5	"伺"		"～候"
"s"	"sɿ"	5	"侍"		"新服～"
"s"	"sɿ"	5	"峙"		"新屹立也；具也"
"s"	"sɿ"	6	"仕"		"～宦"
"s"	"sɿ"	6	"俟"		"待也"
"s"	"sɿ"	6	"竢"		"同「俟」。待也"
"s"	"sɿ"	6	"耜"		"耒～"
"s"	"sɿ"	6	"姒"		"長婦也"
"s"	"sɿ"	6	"祀"		"祭～"
"s"	"sɿ"	6	"涘"		"涯～"
"s"	"sɿ"	6	"汜"		"水決復入也"
"s"	"sɿ"	6	"似"		"肖也；～乎；嗣也"
"s"	"sɿ"	6	"士"		"～人；～女；將～"
"s"	"sɿ"	6	"禩"		"同「祀」，奕～"
"s"	"sɿ"	6	"事"		"～務；～奉"
"zh"	"tʃɿ"	1	"之"		"往也；代詞；連接詞"
"zh"	"tʃɿ"	1	"芝"		"～蘭"
"zh"	"tʃɿ"	1	"支"		"～持；～配；收～；～吾；～派；四～，通「肢」"
"zh"	"tʃɿ"	1	"枝"		"～葉；～梧：同「支吾」"
"zh"	"tʃɿ"	1	"吱"		"～～鳥聲"
"zh"	"tʃɿ"	1	"肢"		"～體"
"zh"	"tʃɿ"	1	"鳷"	"𫛛"	"鳥名"
"zh"	"tʃɿ"	1	"知"		"～識；～道"
"zh"	"tʃɿ"	1	"䵹"	"蜘"	"～鼄"
"zh"	"tʃɿ"	1	"䝷"		"以財質也"
"zh"	"tʃɿ"	1	"祇"		"敬也"
"zh"	"tʃɿ"	1	"氏"		"閼～"
"zh"	"tʃɿ"	1	"泜"		"水名"
"zh"	"tʃɿ"	1	"胝"		"牲體之本也"
"zh"	"tʃɿ"	1	"袛"		"～裯"
"zh"	"tʃɿ"	1	"脂"		"～肪；胭～"
"zh"	"tʃɿ"	1	"耆"		"焉～"
"zh"	"tʃɿ"	1	"榰"		"柱也"
"zh"	"tʃɿ"	1	"搘"		"支撐也"
"zh"	"tʃɿ"	1	"巵"	"卮"	"酒～"
"zh"	"tʃɿ"	1	"梔"		"～子花"
"zh"	"tʃɿ"	1	"禔"		"安也"
"zh"	"tʃɿ"	1	"𨢮"		"酒也"
"zh"	"tʃɿ"	2	"池"		"～塘；差～"
"zh"	"tʃɿ"	2	"杝"		"析薪也"
"zh"	"tʃɿ"	2	"𩚉"		"飴也"
"zh"	"tʃɿ"	2	"馳"	"驰"	"奔～"
"zh"	"tʃɿ"	2	"遲"	"迟"	"～早"
"zh"	"tʃɿ"	2	"墀"		"階上地也"
"zh"	"tʃɿ"	2	"𡂙"		"～～哆哆"
"zh"	"tʃɿ"	2	"蚳"		"蟻卵也"
"zh"	"tʃɿ"	2	"坻"		"水中高地也"
"zh"	"tʃɿ"	2	"持"		"握也；維～；扶～"
"zh"	"tʃɿ"	2	"歭"		"～䠧"
"zh"	"tʃɿ"	2	"踟"		"～躕"
"zh"	"tʃɿ"	2	"簃"		"閣邊小屋也"
"zh"	"tʃɿ"	2	"治"		"～理；～國"
"zh"	"tʃɿ"	2	"箈"		"小竹筍也"
"zh"	"tʃɿ"	2	"篪"		"樂器"
"zh"	"tʃɿ"	2	"竾"		"同「篪」；樂器"
"zh"	"tʃɿ"	2	"泜"		"水名"
"zh"	"tʃɿ"	3	"止"		"終～"
"zh"	"tʃɿ"	3	"址"		"地～"
"zh"	"tʃɿ"	3	"阯"		"同「址」；交～，即「交趾」"
"zh"	"tʃɿ"	3	"芷"		"香艸名"
"zh"	"tʃɿ"	3	"沚"		"小渚也"
"zh"	"tʃɿ"	3	"祉"		"福也"
"zh"	"tʃɿ"	3	"趾"		"足～"
"zh"	"tʃɿ"	3	"只"		"語詞；～有"
"zh"	"tʃɿ"	3	"咫"		"～尺"
"zh"	"tʃɿ"	3	"枳"		"果名"
"zh"	"tʃɿ"	3	"軹"	"轵"	"車具"
"zh"	"tʃɿ"	3	"旨"		"～意；甘～"
"zh"	"tʃɿ"	3	"恉"		"～意，通作「旨」"
"zh"	"tʃɿ"	3	"指"		"手～；～示"
"zh"	"tʃɿ"	3	"耆"		"致也"
"zh"	"tʃɿ"	3	"徵"		"五音之一"
"zh"	"tʃɿ"	3	"黹"		"鍼～"
"zh"	"tʃɿ"	3	"峙"		"屹立也，具也"
"zh"	"tʃɿ"	3	"歭"		"供具也；又同「峙」"
"zh"	"tʃɿ"	3	"畤"		"祭祀地也"
"zh"	"tʃɿ"	3	"庤"		"儲也，具也"
"zh"	"tʃɿ"	3	"偫"		"儲也，具也。"
"zh"	"tʃɿ"	3	"坻"		"止也"
"zh"	"tʃɿ"	3	"抵"		"擊也，～掌而談"
"zh"	"tʃɿ"	3	"砥"		"～柱；～礪"
"zh"	"tʃɿ"	3	"扺"		"通「抵」：側擊也"
"zh"	"tʃɿ"	3	"厎"		"～空：致也"
"zh"	"tʃɿ"	3	"祇"		"同「只」：但也"
"zh"	"tʃɿ"	3	"紙"	"纸"	"～張；狀～"
"zh"	"tʃɿ"	3	"秪"		"同「紙」：～張；狀～"
"zh"	"tʃɿ"	3	"帋"		"同「紙」：～張；狀～"
"zh"	"tʃɿ"	3	"脂"		"～肪"
"zh"	"tʃɿ"	3	"𧝉"	"𧛢"	"䘢～"
"zh"	"tʃɿ"	5	"志"		"～向；記也，同「誌」"
"zh"	"tʃɿ"	5	"痣"		"皮膚之突起也"
"zh"	"tʃɿ"	5	"誌"	"𰵧"	"記也，碑～"
"zh"	"tʃɿ"	5	"鋕"		"銘也"
"zh"	"tʃɿ"	5	"䏯"		"黑子也，同「痣」"
"zh"	"tʃɿ"	5	"識"	"识"	"記也，同「誌」"
"zh"	"tʃɿ"	5	"幟"	"帜"	"旗～"
"zh"	"tʃɿ"	5	"智"	"知"	"～慧"
"zh"	"tʃɿ"	5	"至"		"到也；極也；冬～，夏～"
"zh"	"tʃɿ"	5	"致"		"意～；～遠；一～；招～；景～；又同「緻」"
"zh"	"tʃɿ"	5	"緻"	"𰬫"	"精～；景～"
"zh"	"tʃɿ"	5	"輊"	"轾"	"軒～"
"zh"	"tʃɿ"	5	"㮹"		"刺也"
"zh"	"tʃɿ"	5	"郅"		"至也；郁～，漢縣名"
"zh"	"tʃɿ"	5	"制"		"～度；～裁；統～；又同「製」"
"zh"	"tʃɿ"	5	"猘"		"狂犬也"
"zh"	"tʃɿ"	5	"製"		"～造；泡～"
"zh"	"tʃɿ"	5	"淛"		"水名"
"zh"	"tʃɿ"	5	"治"		"～安；省～，縣～"
"zh"	"tʃɿ"	5	"菭"		"～牆：菊別名"
"zh"	"tʃɿ"	5	"痔"		"～瘡"
"zh"	"tʃɿ"	5	"亂"	"乿"	"古「治」字"
"zh"	"tʃɿ"	5	"質"	"质"	"典押以取信也"
"zh"	"tʃɿ"	5	"懫"	"𰑬"	"忿戾也"
"zh"	"tʃɿ"	5	"瘈"		"狂犬也"
"zh"	"tʃɿ"	5	"忮"		"嫉也"
"zh"	"tʃɿ"	5	"置"		"設也"
"zh"	"tʃɿ"	5	"寘"		"設也"
"zh"	"tʃɿ"	5	"直"		"物價也"
"zh"	"tʃɿ"	5	"植"		"立也"
"zh"	"tʃɿ"	5	"𰤙"		"星光也"
"zh"	"tʃɿ"	5	"晢"	"晣"	"明也"
"zh"	"tʃɿ"	5	"摯"	"挚"	"懇～"
"zh"	"tʃɿ"	5	"鷙"	"鸷"	"鳥之猛者"
"zh"	"tʃɿ"	5	"驇"	"𱅊"	"馬重皃"
"zh"	"tʃɿ"	5	"贄"	"贽"	"執物以相見也"
"zh"	"tʃɿ"	5	"觶"	"觯"	"酒器"
"zh"	"tʃɿ"	5	"遲"	"迟"	"待也"
"zh"	"tʃɿ"	5	"騭"	"骘"	"陰～"
"zh"	"tʃɿ"	5	"疐"		"礙不行也；又同「躓」：跲也"
"zh"	"tʃɿ"	5	"𢷟"		"同「疐」：～礙"
"zh"	"tʃɿ"	5	"値"	"值"	"價～；相遇"
"zh"	"tʃɿ"	5	"咥"		"笑皃"
"zh"	"tʃɿ"	5	"躓"	"踬"	"跲也"
"zh"	"tʃɿ"	5	"熾"	"炽"	"火盛"
"zh"	"tʃɿ"	5	"織"	"织"	"織文錦綺也"
"zh"	"tʃɿ"	5	"饎"	"𱄆"	"熟食"
"zh"	"tʃɿ"	5	"掣"		"曳也"
"zh"	"tʃɿ"	5	"懘"		"惉～：音不和"
"zh"	"tʃɿ"	5	"懥"		"怒也"
"zh"	"tʃɿ"	5	"窒"		"～塞"
"zh"	"tʃɿ"	5	"蟄"	"蛰"	"驚～"
"zh"	"tʃɿ"	6	"痔"		"～瘡"
"zh"	"tʃɿ"	7	"隻"		"單也；計物單位名"
"zh"	"tʃɿ"	7	"只"		"同「隻」：單也；計物單位名。僅也"
"zh"	"tʃɿ"	7	"汁"		"液也"
"zh"	"tʃɿ"	7	"織"	"织"	"～布"
"zh"	"tʃɿ"	7	"職"	"职"	"～業；惟也"
"zh"	"tʃɿ"	7	"熾"	"炽"	"盛也，炊也"
"zh"	"tʃɿ"	7	"樴"		"橛也"
"zh"	"tʃɿ"	7	"幟"	"帜"	"旗～"
"zh"	"tʃɿ"	7	"蹠"	"跖"	"足掌也；盜～"
"zh"	"tʃɿ"	7	"摭"	"拓"	"拾取也"
"zh"	"tʃɿ"	7	"䗪"		"地鼈也"
"zh"	"tʃɿ"	7	"直"		"曲～；正～；橫～"
"zh"	"tʃɿ"	7	"値"	"值"	"價～；～日；相遇也"
"zh"	"tʃɿ"	7	"植"		"～物；～樹"
"zh"	"tʃɿ"	7	"殖"		"生～"
"zh"	"tʃɿ"	7	"埴"		"黏土也"
"zh"	"tʃɿ"	7	"稙"		"早種禾也"
"zh"	"tʃɿ"	7	"置"		"安～；設～"
"zh"	"tʃɿ"	7	"寘"		"同「置」：設也"
"zh"	"tʃɿ"	7	"犆"		"緣也"
"zh"	"tʃɿ"	7	"質"	"质"	"本～；資～"
"zh"	"tʃɿ"	7	"懫"	"𰑬"	"忿戾也"
"zh"	"tʃɿ"	7	"躓"	"踬"	"跲也"
"zh"	"tʃɿ"	7	"鑕"	"锧"	"刀～"
"zh"	"tʃɿ"	7	"櫍"	"𬃊"	"斧～"
"zh"	"tʃɿ"	7	"礩"	"𰧉"	"柱下石也"
"zh"	"tʃɿ"	7	"執"	"执"	"待也；固～；父～輩"
"zh"	"tʃɿ"	7	"縶"	"絷"	"繫也"
"zh"	"tʃɿ"	7	"蟄"	"蛰"	"蟲類潛出也"
"zh"	"tʃɿ"	7	"摯"	"挚"	"懇～"
"zh"	"tʃɿ"	7	"鷙"	"鸷"	"鳥之猛者"
"zh"	"tʃɿ"	7	"驇"	"𱅊"	"馬重皃"
"zh"	"tʃɿ"	7	"贄"	"贽"	"執物以相見也"
"zh"	"tʃɿ"	7	"姪"		"叔～"
"zh"	"tʃɿ"	7	"侄"		"堅也；又同「姪」"
"zh"	"tʃɿ"	7	"桎"		"～梏"
"zh"	"tʃɿ"	7	"厔"		"盩厔，縣名"
"zh"	"tʃɿ"	7	"蛭"		"水～"
"zh"	"tʃɿ"	7	"郅"		"至也；郁～，漢縣名"
"zh"	"tʃɿ"	7	"咥"		"大笑也"
"zh"	"tʃɿ"	7	"挃"		"～～，穫禾聲"
"zh"	"tʃɿ"	7	"銍"	"铚"	"鎌類"
"zh"	"tʃɿ"	7	"庢"		"礙也；又同「厔」"
"zh"	"tʃɿ"	7	"輊"	"轾"	"軒～"
"zh"	"tʃɿ"	7	"窒"		"～塞"
"zh"	"tʃɿ"	7	"螲"		"～蟷，蟲名"
"zh"	"tʃɿ"	7	"膣"		"～道"
"zh"	"tʃɿ"	7	"昵"		"黏也"
"zh"	"tʃɿ"	7	"馽"	"𱅁"	"同「縶」：絆馬足也"
"zh"	"tʃɿ"	7	"炙"		"大爇肉也"
"zh"	"tʃɿ"	7	"湜"		"水清底見也"
"zh"	"tʃɿ"	7	"陟"		"登也"
"zh"	"tʃɿ"	7	"騭"	"骘"	"陰～"
"zh"	"tʃɿ"	7	"櫛"	"栉"	"梳～；～沐"
"zh"	"tʃɿ"	7	"秷"		"～木，同「挃」"
"zh"	"tʃɿ"	7	"擲"	"掷"	"投也"
"zh"	"tʃɿ"	7	"䵹"	"蜘"	"～鼄"
"zh"	"tʃɿ"	7	"指"		"～腦子：指頭"
"ch"	"tʃʰɿ"	1	"蚩"		"～～者氓；～尤"
"ch"	"tʃʰɿ"	1	"嗤"		"～笑"
"ch"	"tʃʰɿ"	1	"媸"		"妍～"
"ch"	"tʃʰɿ"	1	"鴟"	"鸱"	"～鴞"
"ch"	"tʃʰɿ"	1	"癡"	"痴"	"～獃；～心妄想"
"ch"	"tʃʰɿ"	1		"攡"	"布也；發也；伸也；象聲詞：腳下滑動"
"ch"	"tʃʰɿ"	1	"螭"	"彲"	"若龍，無角"
"ch"	"tʃʰɿ"	1	"魑"		"～魅"
"ch"	"tʃʰɿ"	1	"黐"		"黏～"
"ch"	"tʃʰɿ"	1	"笞"		"鞭～"
"ch"	"tʃʰɿ"	1	"抬"		"同「笞」：擊也"
"ch"	"tʃʰɿ"	1	"齝"	"𱌯"	"牛之反芻也"
"ch"	"tʃʰɿ"	1	"絺"	"𫄨"	"細葛也"
"ch"	"tʃʰɿ"	1	"瓻"		"盛酒器"
"ch"	"tʃʰɿ"	1	"郗"		"周邑也"
"ch"	"tʃʰɿ"	1	"鍉"	"𫔂"	"鑰～"
"ch"	"tʃʰɿ"	1	"匙"		"匕也，即調羹；鑰～，俗「鍉」字"
"ch"	"tʃʰɿ"	1	"眵"		"目汁凝也"
"ch"	"tʃʰɿ"	1	"胵"		"鳥類臟腑也"
"ch"	"tʃʰɿ"	1	"褫"		"～奪"
"ch"	"tʃʰɿ"	1	"雉"		"野雞也"
"ch"	"tʃʰɿ"	3	"侈"		"奢～"
"ch"	"tʃʰɿ"	3	"哆"		"張口也"
"ch"	"tʃʰɿ"	3	"移"		"廣大也"
"ch"	"tʃʰɿ"	3	"誃"	"𰵥"	"離別也"
"ch"	"tʃʰɿ"	3	"豉"		"豆～"
"ch"	"tʃʰɿ"	3	"扡"		"分離也"
"ch"	"tʃʰɿ"	3	"恥"	"耻"	"～辱；廉～"
"ch"	"tʃʰɿ"	3	"齒"	"齿"	"牙～；～輪"
"ch"	"tʃʰɿ"	3	"褫"		"～奪"
"ch"	"tʃʰɿ"	3	"豸"		"蟲～；獬～，同「廌」"
"ch"	"tʃʰɿ"	3	"𢊁"		"獬～，獸名"
"ch"	"tʃʰɿ"	3	"雉"		"雄雞"
"ch"	"tʃʰɿ"	3	"袳"	"袲"	"～移：地名；衣張也"
"ch"	"tʃʰɿ"	5	"翄"	"翅"	"翼～；魚～"
"ch"	"tʃʰɿ"	5	"饎"	"𱄆"	"酒食也"
"ch"	"tʃʰɿ"	5	"糦"		"酒食也"
"ch"	"tʃʰɿ"	5	"眙"		"直視也"
"ch"	"tʃʰɿ"	5	"啻"		"不～"
"ch"	"tʃʰɿ"	5	"𥭊"		"塘壩～口"
"ch"	"tʃʰɿ"	5	"傺"		"侘～"
"ch"	"tʃʰɿ"	5	"雉"		"野雞也；～碟"
"ch"	"tʃʰɿ"	5	"穉"	"稚"	"幼～"
"ch"	"tʃʰɿ"	5	"彘"		"豕也"
"ch"	"tʃʰɿ"	5	"滯"	"滞"	"凝～；留～"
"ch"	"tʃʰɿ"	5	"懘"	"𰒒"	"惉～：敝敗不和皃"
"ch"	"tʃʰɿ"	5	"蹛"	"𰸚"	"通「滯」：凝～；留～"
"ch"	"tʃʰɿ"	5	"迣"		"超過也"
"ch"	"tʃʰɿ"	5	"𢷟"		"～礙"
"ch"	"tʃʰɿ"	5	"窒"		"舊～塞"
"ch"	"tʃʰɿ"	5	"膣"		"～道"
