#来源	由Pekkhak（啵啵）整理自《吴语处衢方言研究》
#符号说明	?待考
#调值	［1］³³［2］²⁴［3］⁴⁵［4］²²［5］⁵²［6］³¹［7］⁵［8］²³［0］⁰
#ɿ	
l	［1］□{骹□tʌʔ3～：脚后跟}［2］兰拦栏鸾□{汆}□{bʌʔ2～：笸箩}［4］卵狼{2黄鼠～}朗?{稀疏}□{稀疏}‖莨{～萁：蕨}［6］乱□{晾}
ts	［1］争筝脏［5］钻{名词；动词}葬
tsʰ	［1］汆仓苍菖{1～蒲：植物}创窗睁?□{睁}［5］纂窜篡撑□{哽}闩?□{动词，闩}
s	［1］桑丧{报～}生牲笙甥［3］伞散{六一～：药名}磉嗓省{江西～；节～}［5］散{解～}算蒜丧{～失}［0］藏{西～}
z	［2］藏{动词}［4］‖松{1～树}［6］脏{肠}
k	［1］干{天～}肝竿干{蛏～}冈岗刚纲钢缸光江扛豇更{打～}粳羹耕惊{1～侬：吃惊}［3］杆秆赶广讲港梗［5］杠降{～落}虹埂{田～}
kʰ	［1］康糠慷坑刚?{～～：刚才}□{～～：刚才}［5］抗囥{放置；藏放}旷矿
ɡ	［2］□{提梁}□{菜畦}□{橘子瓣}□{把房间隔开}［6］汗{1出～}
ŋ	［2］昂［6］岸硬
x	［1］荒慌兄［3］谎［5］汉况□{～脓：化脓}□{□iã45～：这样}
ɦ	［2］行{银～}航杭黄{1颜色}簧皇蝗王降{投～}行{～为}横［4］寒旱‖翰{～林院}隍{城～庙}桁{～条：檩}［6］韩汗{2～毛}焊笐{竹～：晒衣服用的竹竿}旺项巷杏{1单说}幸
∅	［1］安鞍汪‖□{～笼：鱼篓}［3］枉往{雨暂停}［5］按案□{干哕}
#iɒ̃	
t	［1］庄{1做～：坐庄}桩
l	［2］龙
tɕ	［1］庄{2～子}装{2西～}妆妆?{动词，弄}□{动词，弄}［5］壮
tɕʰ	［3］闯［5］铳
dʑ	［2］重{1叠上去}［4］杖［6］撞□{□zeʔ2～：一种黑色的田鸡}
ȵ	［2］浓［4］□{衣服起褶子}［6］让{2}
ɕ	［1］孀霜双［3］爽
ʑ	［2］床{2鉋～}鳙{～鱼：胖头鱼}［4］痒［6］状
k	［1］供{供养}
kʰ	［1］匡筐眶
ɡ	［2］狂逛
∅	［4］养{2～猪}
#æ̃	
p	［1］奔□{扫进}［3］本［5］粪{1大～}
pʰ	［1］潘喷‖□{～□səɯ52：勤快}［5］判□{估价包圆}
b	［2］般{1一～}搬盘{2}盆［6］叛
m	［2］瞒［4］满问{1}‖馒{～头}［6］焖闷
f	［1］分芬纷［3］粉‖吩{～咐}［5］愤忿粪{2}奋
v	［2］焚坟吻刎［6］份问{2～题}
t	［1］砧{2～板。乡下话}装{1盛饭}登灯{2}瞪□{隐蔽等待}［3］等［5］凳{2}
tʰ	［1］吞［3］探{1窥视}
d	［2］潭坛{酒～}长{1形容词}腾誊藤{2}疼［6］邓
n	［2］能瓤□{□dzəʔ2～：怎么}
l	［1］拎［2］量{1～米}［4］两{～个}冷
ts	［1］簪砧{1～板}櫼{塞进去。《集韵》平声侵韵咨林切：“楔也”;平声盐韵将廉切：“《说文》：楔也”。另外，段玉裁认为江浙的读音为“知林切”(据《说文解字注·六篇上》)。玉山的读音符合“知林切”。}针曾{姓}增憎□{扔}［5］荐{1稿～：稻草床垫}
tsʰ	［1］疮［5］凊{冷}
dz	［2］沉{1}曾{～经}澄橙［6］赠
s	［1］森参{人～}僧［3］沈［5］渗
z	［2］蚕层床{1床铺}［4］錾
k	［1］甘柑泔艰跟根斤庚□{～尿：把尿}［3］感敢哽耿［5］赣更{～好}□{名词，闩}
kʰ	［1］堪龛［3］恳垦啃肯［5］磡揿
ɡ	［2］勤［4］近{1}□{1～好：好不好}‖□{～嘴：忌口}
ŋ	［2］银
x	［3］䘆{黄～：蚯蚓}很
ɦ	［2］恒衡［4］‖痕{～迹}杏{2～仁}［6］恨
∅	［1］庵恩‖阴{1～底：阴凉处}［3］揞{2～耳朵}影{1侬～：人影}［5］暗
#yæ̃	
t	［3］转{1～来：回来}
tɕ	［1］真［5］颤{1打冷战}
dʑ	［2］陈［4］鳝□{门～：门槛}
ɕ	［1］身{1一～衣裳}
#uə̃	
t	［1］敦驐{阉}蹲［3］墩{桥～}［5］顿炖□{跺脚}
d	［2］囤［4］饨钱?□{钱}‖屯{～溪：地名}［6］沌盾钝遁
n	［6］嫩
l	［6］论
ts	［1］尊遵
tsʰ	［1］村［3］忖{想}［5］寸
s	［1］孙［3］损
z	［2］存
k	［3］滚［5］棍
kʰ	［1］昆崑坤［3］捆［5］阃困
x	［1］昏婚荤［5］□{浑浊}
∅	［1］温瘟［2］魂炆?{煮}□{煮}［3］稳［4］馄{～饨}［5］揾?{淹，或为𩑦}□{淹}［6］混
#iẽ	
p	［1］鞭编边辫［3］贬扁匾［5］变遍{一～}半
pʰ	［1］篇偏［5］骗遍{～地}片‖盘{3算～}
b	［2］盘{1}［4］伴拌‖便{～宜}蝙{～蝠}［6］辨辩便{方～}
m	［2］绵棉眠［3］免勉娩［6］面麵
t	［1］颠癫［3］点典［5］店
tʰ	［1］添天［3］舔
d	［2］甜田填［4］簟［6］电殿奠垫
l	［1］□{绞}［2］廉镰帘连联怜莲［3］脸［4］‖鲢{～鱼}［6］敛殓练炼棟
tɕ	［1］尖瞻煎毡笺［3］剪展［5］占{～领}箭溅{沸}饯战颤{2}荐{2支撑房子使正}
tɕʰ	［1］歼籤签深{1}迁千［3］浅
dʑ	［2］潜［6］渐践
ȵ	［1］黏年{2去～}［2］阎严言年{1往～}研［4］染碾年{3今～}砚［6］验念廿谚彦
ɕ	［1］仙鲜{2新～}籼羶先鲜?{使稀疏}［3］陕闪癣筅冼{2姓}［5］线羡扇{名词；动词}
ʑ	［2］蝉钱禅然燃前{2～进}［4］冉善膳□{理睬}‖蟾{～酥}［6］贱旋{头旋}
k	［1］兼肩坚毽［3］检捡茧趼笕［5］剑键腱建见
kʰ	［1］谦牵伸?□{伸}［3］遣［5］欠歉纤
ɡ	［2］钳黔乾{～坤}虔□{鸭子、鹅啄物}［4］件‖妗{～婆：父亲的舅母}［6］俭健
x	［1］轩掀［3］险宪献显
∅	［1］焉蔫烟姻{2～亲}［2］炎盐{名词}檐嫌延筵贤弦沿铅{2～山：地名}［3］演厣{鱼～：鱼鳞；痂}［5］厌燕{～儿}宴𥣘{□xɐʔ3谷～：秕谷}［6］艳焰盐{动词}现
#yẽ	
tɕ	［1］专砖［3］转{2～告}［5］‖缠{盘～：路费}
tɕʰ	［1］川穿{2}［4］‖䘼{～头：袖子。“手䘼”的合音}□{～头：袖子。“手䘼”的合音}［5］喘串{2}
dʑ	［2］传{遗～}椽篆［6］传{左～}
ȵ	［2］元原源［4］软阮［6］愿
ɕ	［1］鲜{1味鲜}宣喧狲［3］选［5］煽
ʑ	［2］全泉旋{～风}
k	［1］捐［3］捲［5］眷卷{名词}绢券
kʰ	［1］圈［3］犬［5］劝
ɡ	［2］拳权颧［6］倦
x	［5］楦
∅	［1］冤渊‖圳{～坑：水坑}［2］完丸圆员缘袁辕园{2公～}援玄［3］远{2望～镜}［5］怨［6］院县
#ɪŋ	
p	［1］彬宾槟滨冰{2棒～：冰棍儿}兵［3］禀丙秉饼［5］殡鬓柄{2}
pʰ	［1］拼［3］品□{1拂}［5］聘□{2拂}
b	［2］贫频凭平坪评瓶萍［4］‖并{～且}屏{～风}［6］病{2}
m	［2］闽民悯鸣明{2～白}盟名铭［4］敏皿抿{啜}［6］谜{1猜～}命
t	［1］灯{1}丁钉{名词}疔叮［3］顶鼎［5］凳{1}钉{动词}订‖地{3场～：地方}
tʰ	［1］听厅汀□{床～：床两边的木条}［3］艇挺［5］听{～其自然}
d	［2］藤{1蕃𧄔～：白薯的藤}停庭蜓［4］亭［6］锭定
n	［1］裏{7□tɕʰyeʔ3～：家里}［2］人{1丈～}迎宁{～波}宁{～可}［4］忍{1～耐}［6］认韧佞
l	［2］林淋临邻鳞磷崙伦沦轮陵菱凌灵零铃伶［4］檩领岭［6］赁吝令
ts	［1］斟珍诊疹徵蒸精晶睛贞侦征‖正{～月}［3］枕井□{在～：在世}［5］浸进镇振震甑证症整正{改～}
tsʰ	［1］侵亲{□tsʰoʔ3～：探亲}称{职～}清蛏青靖‖衬{～衫}□{～□kʰəɯ33：身体}［3］请［5］称{相～}秤□{扔}
dz	［2］沉{2～没}尘臣惩丞情呈程［4］‖鲫{～鱼}［6］尽阵静靖净郑
s	［1］心深{2}辛新薪身{2}申伸升蝇声星［3］审婶省{反～}醒［5］信讯胜{～利}性姓圣腥□{一～：一些}‖塍{田～}
z	［2］寻神辰晨人{2工～}仁绳承仍剩晴成城诚［4］忍{2～耐}‖□{～日：整天}［6］壬任{责～}甚甚肾慎刃乘{加减～除}盛{茂～}
k	［1］今{3}金襟巾筋京荆经□{开裂}‖惊{2～蛰}［3］锦紧仅谨境景警颈［5］禁{～止}劲敬竞镜竞径
kʰ	［1］钦轻卿［5］庆磬
ɡ	［2］琴禽擒芹擎□{跷脚}［4］近{2接～}‖□{1～子树：乌柏树}□{～虫儿：一种小飞虫}□{2～□□nɑ45nɑ0：萤火虫}［6］□{庹}
x	［1］欣兴{复～}［5］衅兴{～趣}
ɦ	［2］淫寅盈赢形型刑［4］引瘾
∅	［1］音阴{2～历}因姻{1婚～}殷应{～该}鹰莺鹦樱英婴缨［3］饮隐影{2电～}［5］荫{暗}印应{答～}映颖
#yɪŋ	
tɕ	［1］津榛臻［3］准{批～}準［5］晋俊浚
tɕʰ	［1］穿{1～过去}椿春［3］蠢［5］串{1一～葡萄}
dʑ	［2］秦
ɕ	［1］‖荀{～子}［3］笋榫［5］旬迅殉舜
ʑ	［2］船循巡唇纯莼醇［4］蕈吮［6］顺润闰
k	［1］均钧君军［3］迥
kʰ	［1］倾［3］菌顷窘
ɡ	［2］群裙郡琼
x	［1］熏{3}勋薰［5］训
∅	［1］肫［2］匀云雲［3］允永泳咏［6］韵运晕孕
#oŋ	
p	［3］□{打～：亲嘴}［5］放{1～假}
pʰ	［1］喷?{闻}□{闻}［3］捧［5］碰
b	［2］朋棚{2棚子}篷蓬［4］塳{灰尘扬起}［6］笨
m	［1］母{2亲家～}［2］门蒙懵［3］□{闭嘴}［4］母{1丈～：岳母}网{1撒～}‖蚊{1～虫：蚊子}芒{～花秆：芦花}忘{1～记走：忘了}□{～槌：棒槌}［5］□{着，坐～两个农}［6］梦
f	［1］风{2～箱}疯丰封峰锋
v	［2］文纹蚊{2}闻逢［6］凤奉俸
t	［1］东冬{2～间：冬天}‖中{1～秋}［3］董懂□{水～：水洼}［5］冻栋{2}□{糊□dɐʔ2～：啰哩啰嗦}
tʰ	［1］通［3］捅统［5］褪{脱袜子}痛
d	［2］同铜桐筒童瞳□{跌～：掉；遗失}□{降～：跳神}［4］断{拗～}桶动□{暖和}［6］洞段?{～雨：下雨}
n	［4］‖奴{～才}
l	［2］笼聋农{3～历}脓隆砻□{缝衣服}［4］拢窿{窟～}［5］‖咙{喉～}［6］弄{胡同}
ts	［1］棕鬃宗［3］总［5］粽纵{～横}
tsʰ	［1］聪匆葱
dz	［2］丛
s	［1］鬆嵩松{2～香}［3］㧐{用力推}［5］宋送
z	［2］崇戎从{介词}㞞{丑}［6］诵颂讼□{背后挑拨}
k	［1］关{1～门}公{1外～}蚣工功功‖□{～荠：荠菜}［3］㔶{盖子}管{1半升}公{2祖父}［5］汞贡
kʰ	［1］园{1菜～}空{～气}［3］孔［5］熏{1～蚁虫}控空{闲}
ɡ	［4］含‖□{2～子树：乌柏树}
x	［1］轰烘哄［3］远{1}擤?□{擤}［5］鬨
ɦ	［2］弘宏红洪鸿冯［4］‖後{2～日}
∅	［1］翁［3］揞{1捂嘴}塕{灰尘扬起}［5］瓮
#ioŋ	
t	［5］栋{1}中{1～举}
tɕ	［1］中{2～华}忠终钟盅［3］种{2～类}［5］中{2射～}众冢种{动词}
tɕʰ	［1］囱充冲□{柴～：柴担}［3］宠
dʑ	［2］虫{2蝗～}重{2～复}［4］重{形容词}［6］仲
k	［1］弓躬宫芎{千～：芹菜}恭供{～给}
kʰ	［3］恐
ɡ	［2］穷［6］共
x	［1］熏{2～豆腐}胸凶{吉～}兇
∅	［1］舂雍拥甬［2］荣营茔萤绒熊雄融容茸熔庸容?{宠}□{宠}［4］‖蓉{芙～花}［3］种{1谷～}肿勇涌［6］用
#ɐʔ	
p	［7］钵八
b	［8］钹拔勃
m	［8］明{3～日}末沫抹袜密没默
f	［7］法发{头～}发{～酵}
v	［8］乏悦{2}阅{2}伐筏罚越{2}曰佛服{1～侍}伏{三～}□{泡沫}
t	［7］答搭着{穿}得{1～到}德竹{1}□{躲～：在}□{一～乌云：一团乌云}□{□dəɯ22～□tø33：稻茬}
tʰ	［7］塔榻塌溻忒□{～□xai33：什么}
d	［8］踏沓着{1～力：累}特□{蜂～：蜂刺}□{□uɑ22～钉：冰锥}□{～□□moʔ2sã33子：突然}□{糊～□toŋ52：啰哩啰嗦}
n	［7］日{2中～：中午}［8］纳捺日{前几～}
l	［7］□{训斥，骂}［8］萝{2～卜}腊蜡鑞辣瘌肋勒垃{～圾，本字“擸𢶍”}擸{～𢶍，俗作“垃圾”}□{～～□xiã45：赶快}
ts	［7］汁札紮扎{刺}扎{捆}则窄炙
tsʰ	［7］插擦察侧{2}测绰
dz	［8］杂{2}掷
s	［7］湿{1}萨杀屑{1锯～}塞圾{垃～，本字“擸𢶍”}𢶍{擸～，俗作“垃圾”}
z	［8］杂{1}闸煠{水煮}十铡贼栅□{～鼻：鼻子}
k	［7］今{2～日}合{容量单位}蛤鸽夹裌荚甲胛□{眨巴}
kʰ	［7］掐刻克□{压}
ɡ	［8］揭{～担：挑担}𢷒{～担：挑担}□{～里：这里}□{～□mã24：勉强}□{～雀儿：麻雀}□{～□guei24：傻瓜}□{2～□lɐɯ22：要不要}
ŋ	［8］轧?{～死：轧死}□{～死：轧死}
x	［7］喝瞎辖{1}黑吓□{～谷𥣘：秕谷}
ɦ	［8］合{～同}盒狭峡匣核{～对}□{□iã22～：瘰疬}
∅	［7］鸭押压□{包粽子}
#iɐʔ	
p	［7］鳖膊剥{1}□{蔫}
pʰ	［7］泼撇劈{1～柴}
b	［8］别{区～}薄{形容词}缚雹□{塘～：一种大型水草}
m	［7］□{瘪}［8］灭{捻}篾□{～水□tɕy53：潜水}
tʰ	［7］帖贴铁
d	［8］叠碟牒蝶谍
l	［8］猎列烈裂劣略掠□{撵，追}□{晒粉干用的竹帘}□{～帚：扫帚}
tɕ	［7］接睫哲蛰折{曲～}浙节疖爵雀酌□{砍}
tɕʰ	［7］妾切彻撤鹊□{食物煮得很烂}
dʑ	［8］捷辙舌截蚱{～蜢}石{1□beʔ2～：石头}硕□{手～头：手指}□{1～腹底：腋下}
ȵ	［7］镊［8］聂蹑业热孽捏弱箬虐疟
ɕ	［7］摄涩泄设屑{2锯～}啬削翼{1鱼～：鳃}
ʑ	［8］涉折{～本}嚼勺芍若
k	［7］劫结洁脚
kʰ	［7］恰怯揭却
ɡ	［8］挟杰□{2～腹底：腋下}
x	［7］歇
∅	［7］约□{拿}［8］也{1}洽叶页胁协翼{2～膀：翅膀}药钥跃
#uɐʔ	
k	［7］括刮□{动词，教训}□{裂开}
kʰ	［7］阔
ɡ	［8］刮?{刮掉}劃?{划火柴}
x	［7］忽霍{～闪：闪电}□{衣服在水里展开}
∅	［7］活{2快～}挖{1用手指挖}［8］活{1生～}滑猾劃{汉字笔画中的横}
#yɐʔ	
∅	［8］悦{1}阅{1}粤越{1}
#ʌʔ	
p	［7］拨博搏剥{2}驳百柏伯迫掰檗
pʰ	［7］泊{梁山～}魄
b	［8］白帛□{～□lɒ̃24：笸箩}
m	［7］幕［8］莫膜寞陌麦脉
t	［7］啄?{鸟啄物}□{动词，钩}斫{～肉：割肉}□{骹～□lɒ̃33：脚后跟}
tʰ	［7］脱託托
d	［8］达夺铎择{1～菜}
n	［8］诺
l	［8］落烙骆酪洛络乐{娱～}
ts	［7］作侧{1～门}责
tsʰ	［7］错{～杂}拆坼{裂缝儿}策册赤{1～～：副词，净}
dz	［8］昨{2}值{1～得}泽择{2}宅
s	［7］撒虱索色粟
z	［8］凿昨{1～暝：昨天}
k	［7］割葛各阁搁胳郭觉角格革隔咯{～～抖：发抖}□{～别：不一样}
kʰ	［7］磕渴廓扩确壳客
ɡ	［8］□{用指关节击打}
ŋ	［8］鄂萼鹤嶽岳{～人}乐{音～}额
x	［7］辖{2}郝霍赫
ɦ	［8］镬学核{～桃}获
∅	［7］恶{凶～}扼轭
#iʌʔ	
t	［7］桌□{塞}
l	［8］绿
tɕ	［7］拙卓琢啄烛
tɕʰ	［7］出{1}戳{1～䏘：性交}
dʑ	［8］着{2～急}浊镯熟{1}□{～镬：锅}
ȵ	［8］月肉□{揉}
ɕ	［7］薛刷雪说朔缩{1～水}
ʑ	［8］前{3～日}绝实{1老～}□{淋雨}
k	［7］厥蕨决诀骨
kʰ	［7］缺窟{1水～：水洼儿}曲{1唱～}
x	［7］血
#oʔ	
p	［7］不北腹{肚子}
pʰ	［7］卜朴扑覆{趴}
b	［8］卜{萝～}□{量词，丛}□{泥～块：土块}□{豆腐～：豆腐渣}
m	［8］拇墨木目穆牧□{□koʔ3崽：一点儿}□{骹～头：膝盖}□{□dɐʔ2～□sã33子：突然}
f	［7］復{～兴；反～}}弗{不}福幅蝠複
v	［8］物勿服{2～务}
t	［7］都{副词}督厾{戳洞}□{拄拐杖}
tʰ	［7］秃
d	［8］头{4里～：里面}凸突独读牍犊毒
l	［7］簏□{□kʰoʔ3～：屁股}［8］捋鹿禄六陆戮录
ts	［7］足{2满～}
tsʰ	［7］猝戳{2邮～}促□{看}□{～簏：抽屉}
s	［7］速肃宿{～舍}缩{2～小}淑束嗦{吸田螺}
z	［8］□{摇动}
k	［7］国穀谷{山～}□{1副词，还}□{～□moʔ3崽：一点儿}
kʰ	［7］哭酷□{～□loʔ5：屁股}
x	［7］□{那}
ɦ	［8］或惑斛
∅	［7］握屋龌{～□lɐɯ33：肮脏}□{瞪眼}
#ioʔ	
tɕ	［7］卒捉竹{2}筑粥祝足{1手～}嘱
tɕʰ	［7］出{2}畜{～生}
dʑ	［8］逐轴触{～电}蜀{2}
ȵ	［8］玉狱
ɕ	［7］蟀叔
ʑ	［7］术{白～}術述族熟{2～悉}俗续赎蜀{1}属辱褥
k	［7］菊鞠
kʰ	［7］屈曲{2歌～}
ɡ	［8］局
x	［7］畜{～牧}蓄育{1～男生女}□{扔}
∅	［7］郁育{2教～}［8］域疫役浴
#eʔ	
p	［7］笔滗毕必逼碧璧壁
pʰ	［7］匹䏘{女阴}僻辟劈{2}
b	［8］鼻弼□{2～石：石头}□{2～日：太阳}□{老鼠～翼：蝙蝠}□{～着□bi22日气：中暑}
m	［8］密{2}蜜觅
t	［7］底{3～侬：谁}得{2晓～}摘的滴嫡
tʰ	［7］踢剔
d	［8］笛敌狄籴
l	［8］裏{5～头：里面}立笠粒栗律率{效～}力逆歷{～史}曆{日～}沥
ts	［7］执质即织职积迹脊隻绩指{～甲：指甲}□{～甲：指甲}
tsʰ	［7］缉辑七漆赤{2}斥尺戚
dz	［8］自{2～家}集{2～中}蛰疾侄秩直值{2～班}籍
s	［7］湿{2}悉{2}失室息熄媳识式饰惜昔适释锡析
z	［8］习袭入实{2～践}日{3～本}食席石{2～榴}□{～□dʑiɒ̃31：田鸡}集{1□iɐʔ2～：收拾}
#ieʔ	
t	［7］跌咥{吃}
k	［7］急级给吉橘戟剧{～烈}剧{戏～}屐击激□{～底：下面}
kʰ	［7］泣讫乞喫{～亏}
ɡ	［8］舅{2～奶：舅母}及极□{～口口nɑ45nɑ0：萤火虫}
x	［7］吸
∅	［7］揖一抑益乙{乙；这。本书里写作“乙”}［8］逸翼{3老鼠□beʔ2～：蝙蝠}亦译易{交～；姓}液腋
#yeʔ	
tɕʰ	［7］处?{～里：家里}□{～里：家里}戍{～里：家里}
ɕ	［7］悉{1}膝戌恤
∅	［8］穴
#əʔ	
l	［8］□{驮马～：骑在脖子上}
ts	［7］只{副词}
tsʰ	［7］撮□{～里：哪里}
dz	［8］就{2}□{～□dɐi22：美丽}□{～□næ̃24：怎么}
k	［7］□{2副词，还}
kʰ	［7］窟{2～窿}麯□{掬}
∅	［7］呃{打～：呃逆，或作餩}餩{打～：呃逆}□{打～：呃逆}
#m̩	
∅	［0］□{助词，了}
