音標	調類	調值	
tɕi	7	42	積疾脊籍藉₂績（文）緝集即鯽棘擊激吉極急及吸
tɕʰi	1	44	妻棲淒趨趨蛆溪（白，九溪源，地名，在今金井鎮沙田村）
tɕʰi	2	13	期鰭奇騎祁祈旗棋吱岐芪齊臍薺徐₁橋（地名，寺～壩，在王梓園村）
tɕʰi	3	324	啟起豈取
tɕʰi	4	21	聚（白）徛
tɕʰi	5	45	器砌氣技支棄汽契企趣
tɕʰi	6	22	罪（白2）
tɕʰi	7	42	七漆戚乞訖迄績（白）
ȵi	2	13	泥伲妮尼呢倪儀疑宜誼霓
ȵi	4	21	擬你（僅書面，極少用）
ȵi	5	45	藝（白）囈義議蟻毅詣昵膩（文）
ȵi	6	22	藝（白）膩（白:~子粉）
ȵi	7	42	日（白）逆溺匿暱熱（白）孽（白）捏₁（～白：撒謊 聽～：胡說）
ɕi	1	44	希稀奚溪犧熙嘻西犀荽（芫～：香菜）須鬚胥些（文）
ɕi	2	13	徐₂兮攜髓
ɕi	3	324	喜嬉禧洗徙璽
ɕi	5	45	戲系細絮緒序敘歲（白）碎（白）
ɕi	7	42	襲隙惜習席析悉息昔
i	1	44	衣伊依醫
i	2	13	移夷姨怡飴貽
i	3	324	椅倚（白：近指）
i	4	21	以（白）倚（文）已矣
i	5	45	易₁（文）翳翼肄異憶億意
i	6	22	易（1白）佾
i	7	42	一益溢亦譯抑逸液易₂以（所～，可～）
pu	3	324	補
pu	5	45	布怖步（文）
pu	7	42	不
pʰu	1	44	鋪₁
pʰu	2	13	蒲菩荸鬻
pʰu	3	324	樸（文）普輔脯僕甫
pʰu	4	21	噗
pʰu	5	45	鋪₂捕
pʰu	6	22	部步（白）簿
pʰu	7	42	撲蔔僕璞曝勃□（～辣椒）
fu	1	44	夫₁膚敷
fu	2	13	夫₂扶芙俘符胡湖蝴瑚乎呼狐弧瓠壺蒲₂（～塘：村名。在今金井鎮觀佳片，［光緒］《平江縣誌》作“湖塘”，［同治］《長沙縣誌》作“蒲塘”，錄此備考。）
fu	3	324	府腑俯撫虎滸（水～）腐斧釜
fu	5	45	戶護（文）庫幅服（一～藥）互付（文）傅赴訃婦（文）父（文）洑附負
fu	6	22	戶（白）護（白）父（白）付（白）婦（白）
fu	7	42	腹複覆拂弗佛福蝠服伏忽笏
ku	1	44	孤姑辜菇估（文）箍
ku	3	324	估（白）古牯咕鼓
ku	5	45	固錮雇故顧
ku	7	42	骨谷穀
kʰu	1	44	枯骷
kʰu	2	13	跍₁
kʰu	3	324	苦
kʰu	4	21	□（撅嘴）
kʰu	5	45	庫褲
kʰu	6	22	跍₂□（耽～）
kʰu	7	42	哭窟酷
u	1	44	烏汙誣巫塢淤（～泥塅:地名，在今平江縣瓮江鎮）
u	2	13	無吳梧蕪毋（文）
u	3	324	物（文）
u	4	21	午武五伍鵡侮舞
u	5	45	誤（文）悟戊務（文）霧
u	6	22	霧（白）務（白）
u	7	42	屋勿物（白）
ɕy	1	44	書輸舒噓虛墟
ɕy	2	13	殊姝茱（～桐嶺:山名，水桐嶺的又稱，今作薯藤嶺，在長沙縣、平江縣界，即今拔薯公路终点。参见[同治]《長沙縣誌》)
ɕy	3	324	薯（文）暑（白）黍許（文）鼠₁水
ɕy	5	45	恕庶墅署戍樹（文）豎鼠₂
ɕy	6	22	樹（白₁）睡（白）
ɕy	7	42	術沭述
ȵy	4	21	女語（白）
ʨy	1	44	豬居車₁株蛛朱拘駒硃珠
ʨy	3	324	煮褚舉諸主矩局（文）
ʨy	5	45	劇據鋸句巨拒距注柱駐具懼鑄箸遽
ʨy	7	42	局菊橘
ʨʰy	1	44	區驅樞吹（白）
ʨʰy	2	13	廚除渠儲瞿錘捶槌
ʨʰy	3	324	處₁褚杵
ʨʰy	4	21	苧（～麻）柱（白）
ʨʰy	5	45	處₂去（文）
ʨʰy	6	22	住處₃
ʨʰy	7	42	出屈
y	1	44	淤₂
y	2	13	於迂於餘餘俞榆愉魚漁儒輿愚娛虞如儒
y	3	324	役（文）疫（文）日（文）
y	4	21	雨宇汝禹羽乳與語（文）
y	5	45	愈寓遇預譽喻豫玉裕籲
y	6	22	芋樹（白₂，花～塅、杉～塝：地名，均在今雙江社區）
y	7	42	入役（白）疫（白）域尉
pa	1	44	巴笆粑芭疤
pa	3	324	畀把靶
pa	5	45	霸欛壩罷（文）
pa	7	42	八百（白）陌（白）
pʰa	1	44	趴₁
pʰa	2	13	爬杷扒琶耙
pʰa	3	324	趴₂
pʰa	4	21	啪
pʰa	5	45	怕帕
pʰa	6	22	罷（白）稗
pʰa	7	42	拔跋白
ma	1	44	媽□（瞎）
ma	2	13	麻
ma	3	324	摸（白）
ma	4	21	馬碼瑪螞
ma	6	22	罵
ma	7	42	抹脈（白）
fa	1	44	花
fa	2	13	華鏵樺（柏～:亦作“白華”，水庫名，亦组名，在今龍華山村）劃₁
fa	4	21	劃₂（白₁）
fa	5	45	劃₂（文）畫（文）化
fa	6	22	劃₂（白₂）
fa	7	42	法發罰伐乏閥髮筏
ta	3	324	打
ta	5	45	大
ta	6	22	著₂（動態助詞，常弱讀）
ta	7	42	搭答達跌（白）
tʰa	1	44	他
tʰa	7	42	塔塌榻遝拓趿獺鰨踏撻
la	1	44	拿拉
la	2	13	拉
la	3	324	拿
la	4	21	哪
la	5	45	那娜
la	7	42	辣蠟臘剌邋捺納鈉
ʦa	1	44	抓（白）渣
ʦa	3	324	鲊
ʦa	5	45	炸
ʦa	7	42	雜眨劄紮軋鍘蚱閘摘（白）
ʦʰa	1	44	差₁杈叉
ʦʰa	2	13	茶搽查槎
ʦʰa	4	21	□（ʨi˦˥ mɑu˦˥～：一種植物）
ʦʰa	5	45	岔
ʦʰa	7	42	擦察擇（白）拆（白）
sa	1	44	沙紗挱痧砂杉
sa	3	324	傻灑撒耍（白）
sa	7	42	殺煞靸薩刷（白）
tʂa	1	44	遮
tʂa	7	42	炙隻
tʂʰa	1	44	車
tʂʰa	3	324	扯
tʂʰa	4	21	□（笑得一～起）
tʂʰa	7	42	赤尺（白）
ʂa	1	44	賒畬（路口～：地名，今長沙縣路口鎮）□（解開衣服）
ʂa	2	13	蛇
ʂa	3	324	舍₁
ʂa	4	21	射（白1）社（白，～沖：地名，在雙江社區）
ʂa	5	45	射（白2）
ʂa	7	42	石（白）
ka	1	44	家₁（白）痂
ka	5	45	駕架（皆白）
ka	7	42	夾（白）甲（白）胛隔（白）
kʰa	1	44	拁
kʰa	2	13	卡₁
kʰa	3	324	卡₂
kʰa	4	21	□(跨)
kʰa	5	45	胯
kʰa	7	42	客掐恰（白）
ŋa	1	44	丫
ŋa	2	13	伢牙芽(白)
ŋa	3	324	啞
ŋa	4	21	砑
ŋa	5	45	龁(～筋：不講理，固執己見)
ŋa	6	22	□(拖延)
ŋa	7	42	額（白）壓(白）鴨（白）齧（白）
xa	1	44	蝦哈₁
xa	3	324	哈₂
xa	4	21	下₁（白）
xa	5	45	哈₃
xa	6	22	下₂（白）
xa	7	42	嚇瞎
a	1	44	啊1
a	3	324	啊2
a	5	45	呵（～也）
pia	7	42	壁（白）
pʰia	6	21	□（～瀉個）
pʰia	7	42	劈（白）
mia	5	45	墨₁（～黑個）
tia	1	44	爹（白）
tia	5	45	滴（白1，量詞）
tia	7	42	滴（白2，動詞）
tʰia	2	13	提
tʰia	7	42	靮踢（白）
lia	2	13	□（爬）
lia	7	42	累（訓）櫟瀝
tɕia	1	44	家₁（文）加佳嘉葭
tɕia	3	324	假姐₁（老～）賈
tɕia	5	45	姐₂借（白）架（文）駕（文）價稼
tɕia	7	42	嗟夾（2又～生）甲（文）蛤（花～）
tɕʰia	1	44	□（躲藏）
tɕʰia	2	13	邪（白）斜（白1）
tɕʰia	5	45	笡
tɕʰia	7	42	喫恰（文）洽
ȵia	1	44	□（撒嬌，粘人）
ȵia	2	13	黏
ȵia	5	45	䏧
ȵia	7	42	入（詈語）
ɕia	1	44	些（白）
ɕia	2	13	斜（白2）霞瑕暇遐
ɕia	3	324	寫
ɕia	4	21	下₁（文）
ɕia	5	45	夏（文）瀉
ɕia	6	22	下₂（文）
ɕia	7	42	狹峽匣俠挾轄狎
ia	1	44	鴉
ia	2	13	爺（白）牙芽
ia	4	21	也雅野
ia	5	45	亞訝
ia	6	22	夜
ia	7	42	押壓（文）
kua	1	44	瓜
kua	3	324	寡剮括（文）
kua	5	45	掛卦褂
kua	7	42	刮括（白）
kʰua	1	44	誇
kʰua	3	324	垮
kʰua	5	45	跨
ua	1	44	蛙窪窊
ua	2	13	娃
ua	3	324	搲
ua	4	21	瓦
ua	5	45	哇凹
ua	6	22	話（白）
ua	7	42	挖襪
ɕya	3	324	耍（文）
ɕya	7	42	刷（文）
ʨya	1	44	抓（文）
ʨya	5	45	□（大叫）
ʨʰya	2	13	瘸
ya	5	45	曰（白）
ya	7	42	噦
po	1	44	波菠玻
po	3	324	簸
po	5	45	播□（打～：親嘴）
po	7	42	博駁剝
pʰo	1	44	坡
pʰo	2	13	婆
pʰo	3	324	頗
pʰo	5	45	破
pʰo	6	22	薄₁（～荷）
pʰo	7	42	薄₂
mo	1	44	摸（文）
mo	2	13	模膜魔磨1摩麼1
mo	4	21	拇母麼₂
mo	5	45	暮幕募墓（文）
mo	6	22	墓（白）
mo	7	42	莫末茉穆牧目木沐幕
to	1	44	多
to	3	324	躲
to	5	45	墮剁舵惰
to	7	42	奪咄□（扔掉）
tʰo	1	44	拖
tʰo	2	13	陀馱駝它₂
tʰo	3	324	妥
tʰo	4	21	摞
tʰo	5	45	唾
tʰo	6	22	舵（白）
tʰo	7	42	托鐸拓脫₁（～甲：原鄉名）
lo	1	44	啰
lo	2	13	羅籮蘿鑼螺腡
lo	4	21	裸䌱玀
lo	5	45	烙懦
lo	6	22	糯
lo	7	42	落洛駱絡樂₁賂諾酪
ʦo	3	324	左（白）卓（文）濁（文）
ʦo	5	45	佐左₂座（文）坐（文）
ʦo	7	42	桌作捉卓（白）涿啄鐲琢
ʦʰo	1	44	搓（文）
ʦʰo	2	13	昨
ʦʰo	4	21	座（白）坐（白）
ʦʰo	5	45	錯措挫₁鑿
ʦʰo	7	42	戳綽濁（白）
so	1	44	梭蓑唆娑嗍艘颼
so	2	13	□（話多）
so	3	324	所（白）鎖瑣塑（文）溯（文）朔（文）
so	7	42	所（文）朔（白）塑（白）溯（白）索
tʂo	5	45	□（～～：兒語，雞。）
tʂo	7	42	酌著角₂腳
tʂʰo	6	22	□（液體流淌）
tʂʰo	7	42	著（白）辵
ʂo	5	45	謶□（壞）
ʂo	7	42	碩爍
ko	1	44	歌哥戈鍋
ko	3	324	果裹箇
ko	5	45	個過
ko	7	42	各閣鴿角₂葛郭
kʰo	1	44	科蝌柯窠
kʰo	3	324	顆可（白）棵（白）
kʰo	5	45	課
kʰo	7	42	確殼擴闊渴可（文）棵（文）
ŋo	1	44	阿₁□（張望）
ŋo	2	13	鵝俄蛾訛峨娥
ŋo	4	21	我
ŋo	6	22	餓
ŋo	7	42	握鄂鱷齶顎沃斡惡
xo	1	44	呵
xo	2	13	河何（文）荷₁和
xo	3	324	火夥夥
xo	5	45	貨禍（文）荷₂賀和₂（文）
xo	6	22	禍（白）和₂（白）活（文2）
xo	7	42	活（文1）喝曷鶴霍藿豁惑或獲合₁盒₁
Ǿo	1	44	窩蝸渦萵屙
Ǿo	2	13	禾何（白）和（～尚）
Ǿo	5	45	臥𤌍
lio	7	42	略掠
ʨio	7	42	爵嚼
ʨʰio	5	45	嚼₂
ʨʰio	7	42	雀卻鵲確（文）覺
ȵio	7	42	弱虐瘧
ɕio	5	45	勺芍□（壞）
ɕio	7	42	學削謔
io	1	44	喲呦
io	5	45	□（大叫）
io	7	42	樂₂嶽躍鑰約藥若
pə	3	324	伯（文）
pə	7	42	缽百₂北柏伯（白）帛陌撥
pʰə	7	42	潑拍（文）珀魄泊
mə	7	42	墨默麥脈（文）沒沫
tə	7	42	得德
tʰə	7	42	脫₂特
lə	7	42	捋勒肋
ʦə	3	324	宅（文）
ʦə	7	42	側則惻廁責摘（文）宅（白）
ʦʰə	7	42	策冊測澤擇（文）賊拆（文）
sə	7	42	嗇色虱瑟塞澀
tʂə	3	324	這（文）者（白）
tʂə	5	45	鷓這（白）
tʂʰə	7	42	徹澈撤轍輒這（白）者（文）
ʂə	1	44	奢
ʂə	2	13	佘
ʂə	3	324	舍₁（文）
ʂə	5	45	舍₂社（文）
ʂə	7	42	攝涉失（白）
kə	3	324	弆革（文）
kə	5	45	鋸（白）蓋（白）嗝₁
kə	7	42	隔（文）格革（白）
kʰə	4	21	□（鋸）嗝₂
kʰə	7	42	刻客（文）克咳□（夾）
ŋə	7	42	額（文）厄扼軛
xə	1	44	許（白）
xə	2	13	□（～起個細人）
xə	5	45	□（笑聲）害₂（僅“厲～”）
xə	7	42	黑核赫盒₂合₂
ə	2	13	兒而
ə	4	21	爾（文）餌耳邇珥
ə	5	45	二（文）貳
ə	6	22	二（白）
pie	3	324	癟
pie	7	42	鱉□（～别，較為粗俗地叫人）
pʰie	1	44	撇（～淡）瞥
pʰie	3	324	蹩
pʰie	7	42	撇₂別
mie	1	44	咩
mie	7	42	滅蔑
tie	2	13	喋₁
tie	7	42	跌迭瓞耋
tʰie	2	13	喋₂
tʰie	7	42	鐵帖貼餮碟蝶牒疊
lie	5	45	捩厲（僅～害）
lie	7	42	列裂烈獵劣冽洌趔鬣
ʨie	1	44	□（詞綴）
ʨie	5	45	藉₁（慰～）借
ʨie	7	42	接結節揭桀潔秸癤劫絕（文）
ʨʰie	2	13	茄
ʨʰie	3	324	且
ʨʰie	5	45	去（白）
ʨʰie	7	42	切妾竊怯鍥挈愜篋截捷睫婕絕
ȵie	7	42	聶捏（文）鑷囁臬鎳業鄴
ɕie	1	44	些（文）
ɕie	2	13	斜（文）
ɕie	5	45	謝卸
ɕie	7	42	血薛雪泄歇脅
ie	1	44	椰
ie	2	13	耶爺（文）
ie	4	21	野（文）也（文）□（撒）冶
ie	5	45	夜（文）
ie	7	42	頁葉謁掖曳燁曄噎
kuə	7	42	國虢
uə	7	42	活（白）罯
ɕye	1	44	靴
ɕye	7	42	說穴噱
ʨye	5	45	倔
ʨye	7	42	決訣掘厥撅蕨崛玦抉
ʨʰye	3	324	□（折斷）
ʨʰye	7	42	闋缺闕
ye	5	45	曰（文1）
ye	7	42	曰（文2）月越粵悅閱玥
pai	1	44	跛
pai	3	324	擺
pai	5	45	拜稗（文）敗（文）
pʰai	2	13	牌排
pʰai	5	45	派
pʰai	6	22	敗（白）
mai	2	13	埋霾
mai	4	21	買賣（白）
mai	5	45	賣（文：燒～）邁
fai	2	13	槐淮懷（文）
fai	6	22	壞
tai	5	45	待帶怠殆貸
tʰai	5	45	太泰態
tʰai	6	22	大
lai	4	21	奶₁□（雞爬地）
lai	5	45	賴（文）奈（文）奶₂
lai	6	22	耐賴（文）癩（文）
ʦai	1	44	災齋
ʦai	3	324	載₁
ʦai	5	45	載₂債
ʦʰai	1	44	猜差₂釵搓（白）
ʦʰai	2	13	才（文）柴
ʦʰai	3	324	彩采睬踩
ʦʰai	6	22	寨□（～雨：淋雨）□（橋～：橋邊）
sai	1	44	篩
sai	3	324	甩（白：～網：一種漁網）□（～牛：用牛耕田）□（～得／幹：能有，竟能有，如“一個班～～八個體育生”）
sai	5	45	曬賽寨（文：大～）
kai	1	44	階皆喈（蔡伯～）街
kai	3	324	改解
kai	5	45	戒械丐屆尬介芥界蓋（文）
kʰai	1	44	揩
kʰai	3	324	凱楷愷
kʰai	5	45	慨概溉
ŋai	1	44	哀挨娭
ŋai	2	13	捱埃岩崖
ŋai	3	324	矮
ŋai	4	21	靄藹
ŋai	5	45	隘礙（文）艾（文）愛（文）
ŋai	6	22	艾（白）
xai	1	44	嗨
xai	2	13	鞋諧孩還偕
xai	3	324	海蟹
xai	5	45	害₁（文）懈亥
kuai	1	44	乖
kuai	3	324	拐□（品性壞）
kuai	5	45	怪
kʰuai	3	324	塊傀蒯
kʰuai	4	21	㧟
kʰuai	5	45	快會₁筷噲獪膾劊
uai	1	44	歪
uai	2	13	懷（白：～抱裏）
uai	3	324	□（行動不穩，兩頭搖擺）
uai	5	45	外（文）
uai	6	22	外（白）
pei	1	44	杯悲卑碑背□（掰斷）
pei	5	45	貝閉陛蔽敝斃幣輩（文）背₁裨婢臂痹備倍（文）被（文）焙（文）秘避₁
pʰei	1	44	胚坯
pʰei	2	13	培賠陪
pʰei	4	21	被₁背₂
pʰei	5	45	佩配轡沛譬珮
pʰei	6	22	被₂（白）倍焙
pʰei	7	42	呸
mei	1	44	痗
mei	2	13	眉湄梅煤媒糜靡迷謎彌枚玫
mei	4	21	每美
mei	5	45	媚昧寐妹（文）
mei	6	22	妹（白）
fei	1	44	飛非妃灰微揮輝麾
fei	2	13	肥回（文）洄
fei	3	324	匪菲悔毀賄䵋
fei	5	45	肺廢費疿吠晦慧彗惠穢卉穗匯（文）諱繪會₂（文）
fei	6	22	會₂（白）匯（白）
fei	7	42	□（～ʨie³：一點兒）
tei	1	44	堆
tei	3	324	歹
tei	5	45	戴代（文）隊對兌
tʰei	1	44	胎推
tʰei	2	13	抬臺苔頹
tʰei	3	324	腿
tʰei	5	45	退褪
tʰei	6	22	代（白）袋
lei	2	13	雷來
lei	4	21	累₁侶鋁縷餒屢壘
lei	5	45	類（文）內（文）淚（文）濾慮
lei	6	22	內（白）類（白）累₂（吃～）
ʦei	1	44	栽
ʦei	3	324	嘴（文）崽₂
ʦei	5	45	最再罪（文2）醉（文）
ʦʰei	1	44	催崔摧炊
ʦʰei	2	13	才材裁
ʦʰei	4	21	在₁
ʦʰei	5	45	菜蔡粹悴翠脆
ʦʰei	6	22	罪（文1）在₂
sei	1	44	腮□（形容詞尾綴：惡～著：凶極了）雖
sei	2	13	隨隋綏
sei	3	324	□（耕田）
sei	5	45	歲（文）碎（白）
kei	1	44	該
kʰei	1	44	開
ŋei	5	45	愛（白）
ŋei	6	22	礙（白）
xei	6	22	害（白）
kuei	1	44	規歸矽閨龜
kuei	3	324	鬼詭晷軌垝
kuei	5	45	貴桂鱖瑰癸（歲在～醜）
kʰuei	1	44	虧魁盔奎
kʰuei	2	13	葵逵圭揆睽夔珪
kʰuei	3	324	跪
kʰuei	5	45	愧潰饋
kʰuei	6	22	櫃
uei	1	44	威煨
uei	2	13	維唯帷惟圍違危桅葦微薇嵬巍回
uei	4	21	尾（文）偉委諉
uei	5	45	胃謂渭魏畏慰偽衛未（文）味（文）位（文）
uei	6	22	位（白）未（白）味（白）
uei	7	42	𣝗（“核”別體，即北京話“桃核兒”之本字，廣韻胡骨切）
ɕyɛ	1	44	衰摔
ɕyɛ	2	13	誰浮
ɕyɛ	3	324	甩（文）
ɕyɛ	5	45	帥率稅瑞睡（文）
ʨyɛ	1	44	追錐
ʨyɛ	3	324	轉（文）
ʨyɛ	5	45	綴贅墜
ʨʰyɛ	1	44	吹
ʨʰyɛ	2	13	垂捶
yɛ	2	13	蕤
yɛ	4	21	蕊
yɛ	5	45	銳睿芮
pɑu	1	44	包褒
pɑu	3	324	保寶堡飽
pɑu	5	45	報爆抱（文）暴（文）齙鮑
pʰɑu	1	44	拋泡₁胞
pʰɑu	2	13	袍浮（白）咆匏
pʰɑu	3	324	跑
pʰɑu	4	21	刨抱（白）
pʰɑu	5	45	炮砲泡₂
pʰɑu	6	22	刨抱（白）
mɑu	1	44	貓
mɑu	2	13	毛矛茅
mɑu	4	21	卯
mɑu	5	45	冒貌
mɑu	6	22	毋（沒有，俗作“冇”）
tɑu	1	44	刀
tɑu	3	324	倒₁島禱
tɑu	5	45	稻（文）倒₂盜道（文）
tʰɑu	1	44	叨滔
tʰɑu	2	13	桃濤燾掏陶
tʰɑu	3	324	討
tʰɑu	5	45	套導
tʰɑu	6	22	稻（白）道（白）
lɑu	1	44	□（~輕：很輕）
lɑu	2	13	撈勞澇癆₁牢撓
lɑu	4	21	腦₁老₁鬧₁（熱鬧）
lɑu	5	45	鬧₁（文）腦₂
lɑu	6	22	鬧₂（白）
ʦɑu	1	44	糟遭糟
ʦɑu	3	324	早₁蚤找
ʦɑu	5	45	灶臊罩
ʦʰɑu	1	44	抄操鈔
ʦʰɑu	2	13	曹嘈槽糟巢
ʦʰɑu	3	324	草吵
ʦʰɑu	4	21	皂
ʦʰɑu	5	45	糙造（文）躁燥操
ʦʰɑu	6	22	造（白）濯₁
sɑu	1	44	捎梢騷筲
sɑu	3	324	稍掃₁嫂
sɑu	5	45	掃₂潲
tʂɑu	1	44	朝₁招昭
tʂɑu	3	324	沼
tʂɑu	5	45	趙詔照兆召肇
tʂʰɑu	1	44	超
tʂʰɑu	2	13	朝₂潮
ʂɑu	1	44	燒
ʂɑu	2	13	韶苕□（ie⁴²～：壞了，完了）
ʂɑu	3	324	少₁
ʂɑu	5	45	少₂紹邵
ʐɑu	4	21	繞擾
kɑu	1	44	高糕跤膠（白）交（白）
kɑu	3	324	稿犒鎬搞₂
kɑu	5	45	告教（白）覺窖校₁（白）
kʰɑu	1	44	敲（白）
kʰɑu	3	324	考烤巧（白）
kʰɑu	4	21	搞₂
kʰɑu	5	45	靠銬
ŋɑu	2	13	熬□（～式：身体硬朗）鏖鼇
ŋɑu	3	324	襖
ŋɑu	4	21	咬（～鹽：醃制）
ŋɑu	5	45	奧傲澳坳凹
xɑu	1	44	蒿薅
xɑu	2	13	毫豪號₁
xɑu	3	324	好₁
xɑu	5	45	號₂（文）好2皓耗孝（白）
xɑu	6	22	號₂（白）
ʨiɑu	1	44	家₂（～夥）
piɑu	1	44	標彪膘熛
piɑu	3	324	表錶婊裱
pʰiɑu	1	44	飄漂₁
pʰiɑu	2	13	剽瓢嫖
pʰiɑu	3	324	瞟漂₂
pʰiɑu	5	45	飄票漂₃
miɑu	1	44	瞄₁喵
miɑu	2	13	瞄₂苗描
miɑu	4	21	秒邈緲
miɑu	5	45	妙繆廟（文，～堂）
miɑu	6	22	廟（白）
tiɑu	1	44	刀貂雕丟
tiɑu	3	324	鳥吊₁
tiɑu	5	45	吊₂（文）釣調₁掉（文）
tʰiɑu	1	44	挑₁
tʰiɑu	2	13	調₂條
tʰiɑu	3	324	挑₂斢
tʰiɑu	4	21	窕
tʰiɑu	5	45	眺跳糴
tʰiɑu	6	22	吊₂（白）掉
liɑu	2	13	遼瞭₁燎療寥聊
liɑu	4	21	了瞭₂
liɑu	5	45	廖料（文）
liɑu	6	22	料（白）□（扔）
ʨiɑu	1	44	交（文）膠（文）焦椒驕嬌
ʨiɑu	3	324	矯鉸狡餃絞繳剿攪
ʨiɑu	5	45	教校₁叫醮₁轎（文，～車）
ʨʰiɑu	1	44	繰劁蹺鍬翹
ʨʰiɑu	2	13	樵瞧喬蕎橋憔
ʨʰiɑu	3	324	巧（文）悄
ʨʰiɑu	4	21	撬藠
ʨʰiɑu	5	45	俏鞘峭翹竅
ʨʰiɑu	6	22	轎（白）噍
ȵiɑu	1	44	蹘□（努嘴）
ȵiɑu	2	13	□（～魚：鯰魚）
ȵiɑu	4	21	鳥（文）
ȵiɑu	6	22	尿
ɕiɑu	1	44	消瀟肖逍宵霄囂簫蕭嘵銷硝梟蛸
ɕiɑu	2	13	肴淆爻
ɕiɑu	3	324	小曉
ɕiɑu	5	45	笑嘯肖₂較校₁（文）效（文）孝（文）酵
ɕiɑu	6	22	效（白）孝（白2）
iɑu	1	44	腰妖要₁夭么邀
iɑu	2	13	搖謠窯姚堯饒瑤
iɑu	3	324	窈
iɑu	4	21	杳
iɑu	5	45	要耀
təu	1	44	都
təu	3	324	堵睹肚朵賭督（文）獨（文）讀（文）
təu	5	45	度（文）杜妒蠹渡（文）鍍
təu	7	42	牘篤督□（器物之底）
tʰəu	2	13	屠塗徒圖
tʰəu	3	324	吐土
tʰəu	5	45	兔
tʰəu	6	22	度（白）渡（白）讀（白）
tʰəu	7	42	獨（白）禿毒突
ləu	1	44	□（鏽）
ləu	2	13	奴廬蘆鸕爐盧
ləu	4	21	魯櫓虜努鹵
ləu	5	45	路（文）露（文）璐鷺
ləu	6	22	露（白）路（白）
ləu	7	42	鹿祿陸₁錄漉□（弄）
ʦəu	1	44	租
ʦəu	3	324	祖阻組紫₂（～蘇）足（文）
ʦəu	5	45	做
ʦəu	7	42	足（白）
ʦʰəu	1	44	初粗
ʦʰəu	2	13	鋤愁（文）
ʦʰəu	3	324	楚礎促（文）驟
ʦʰəu	5	45	醋助
ʦʰəu	7	42	促（白）族卒猝
səu	1	44	蘇₁梳疏蔬酥
səu	3	324	數₁
səu	5	45	數₂素愫
səu	7	42	速宿₁肅俗夙
tʂəu	1	44	周州洲舟
tʂəu	3	324	肘帚
tʂəu	5	45	宙晝紂咒
tʂəu	7	42	竹築燭囑祝
